JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,
1,12,10000000,3354856,1,1,
1,8,14000000,14000000,#N/A,1,
1,12,10000000,8572067,1,1,
1,10,16800000,5600000,5,1,
1,12,10000000,9119199,1,1,
1,4,12000000,12000000,#N/A,1,
1,36,12000000,6999975,1,1,
1,60,150000000,95000000,1,1,
1,12,10000000,0,1,1,
1,36,7500000,6041655,1,1,
1,7,2500000,2500000,2,1,
1,60,50000000,13608265,1,1,
1,11,10000000,5000000,5,1,
1,12,10000000,6530187,1,1,
0,12,10000000,0,1,1,
1,60,55000000,13749850,1,1,
1,8,5000000,5000000,2,1,
0,48,25000000,20311000,1,1,
1,3,9000000,9000000,#N/A,1,
0,36,12000000,9999990,1,1,
0,120,165000000,151250000,1,1,
0,60,50000000,43066680,2,1,
0,24,25000000,25000000,2,1,
0,24,25000000,25000000,2,1,
0,12,10000000,6912397,1,1,
1,84,38000000,18999830,1,1,
1,60,25000000,24166660,1,1,
1,11,5500000,5500000,#N/A,1,
1,12,10000000,4487063,1,1,
0,60,50000000,45833325,1,1,
0,36,20000000,11111040,1,1,
1,60,50000000,22499945,1,1,
1,36,15000000,13749990,1,1,
0,24,20000000,16666660,1,1,
0,9,12000000,6000000,5,1,
0,12,18000000,18000000,1,1,
0,60,50000000,47499995,1,1,
0,12,43000000,43000000,1,1,
0,9,32000000,24000000,5,1,
0,60,21000000,13650000,1,1,
0,12,14000000,14000000,2,1,
0,12,7000000,7000000,5,1,
0,12,21000000,21000000,1,1,
0,12,10000000,4188455,1,1,
1,60,15000000,14250000,1,1,
1,60,40000000,17999890,1,1,
1,11,10000000,10000000,#N/A,1,
1,12,32000000,32000000,1,1,
1,10,21600000,21600000,5,1,
1,12,10000000,4373443,1,1,
0,9,13000000,13000000,2,1,
0,11,6750000,6750000,2,1,
0,12,20100000,20100000,1,1,
0,72,125000000,112847195,1,1,
0,12,10000000,3000000,1,1,
1,60,40000000,35333310,1,1,
1,12,25000000,25000000,1,1,
1,9,6000000,6000000,2,1,
1,11,6000000,6000000,5,1,
1,12,18000000,18000000,1,1,
1,12,10000000,4273481,1,1,
0,48,15000000,2500000,1,1,
0,12,38500000,38500000,1,1,
0,12,10000000,4758750,1,1,
1,48,20000000,16666640,1,1,
1,10,2000000,2000000,2,1,
1,11,2000000,2000000,5,1,
0,10,13000000,13000000,#N/A,1,
0,12,6500000,6500000,5,1,
0,12,19500000,19500000,1,1,
0,12,10000000,3281481,1,1,
1,60,50000000,45833325,1,1,
1,24,7000000,4666640,1,1,
1,11,6800000,6800000,1,1,
1,48,40000000,29145710,1,1,
1,60,60000000,20000000,1,1,
1,60,20000000,17333320,1,1,
1,11,5000000,5000000,2,1,
1,12,15000000,15000000,5,1,
1,11,15000000,15000000,1,1,
1,12,10000000,9792237,1,1,
0,120,100000000,73041625,1,1,
0,12,10000000,4000000,1,1,
1,60,60000000,55000000,2,1,
1,11,6000000,3000000,5,1,
0,11,10000000,10000000,#N/A,1,
1,36,15000000,7083270,2,1,
1,12,15000000,15000000,1,1,
1,60,20000000,16666650,2,1,
1,11,15000000,15000000,1,1,
1,60,15000000,7750000,2,1,
1,36,10000000,3888840,2,1,
1,60,85000000,72249970,2,1,
1,12,6000000,6000000,2,1,
0,36,30000000,19999980,2,1,
0,6,3000000,3000000,2,1,
1,11,10000000,10000000,2,1,
1,12,15000000,15000000,1,1,
1,12,10000000,4528513,1,1,
1,36,15000000,10416630,1,1,
1,48,50000000,28124930,1,1,
1,12,10000000,6536750,1,1,
1,60,120000000,80000000,1,1,
1,12,10000000,4500000,1,1,
1,12,25000000,25000000,1,1,
1,72,400000000,333333280,1,1,
1,48,55000000,44688535,1,1,
1,48,80000000,60000000,2,1,
1,12,35000000,35000000,2,1,
1,12,20000000,20000000,2,1,
1,12,10000000,9004815,1,1,
0,12,18000000,18000000,1,1,
0,60,35000000,31840665,1,1,
0,11,25000000,25000000,1,1,
1,12,7500000,4375000,2,1,
1,48,20000000,15416630,2,1,
1,5,5000000,5000000,#N/A,1,
1,36,45000000,45000000,2,1,
