JK,JW,PLAFOND,SALDO_DEBET,JAMINAN,KOLEKTIBILITAS,,
P,7,20000000,20000000,"Natal 2023, Cubes Sept 2023",1,,
P,11,30000000,30000000,Japrod 2023,1,,
L,60,10000000,8333300,Manfaat pensiun,1,,
L,12,14000000,14000000,Japrod 2023,1,,
P,11,20000000,20000000,Japrod 2023,1,,
P,60,50000000,45833335,pot gaji,1,,
L,60,12000000,10180000,pot gaji,1,,
L,12,15900000,15900000,Japrod 2023,1,,
L,11,40000000,40000000,"Japrod 2023, Natal 2023",1,,
L,12,10000000,4430000,Gaji,1,,
P,84,122000000,111237500,Gaji,1,,
P,12,10000000,9000000,Gaji,1,,
L,24,10000000,7916650,pot gaji,1,,
P,48,15000000,13437500,pot gaji,1,,
P,9,9000000,9000000,Natal 2023,1,,
P,12,17500000,17500000,"Cutan Maret 2024, THR 2024",1,,
P,12,10000000,8284725,Gaji,1,,
P,12,13166000,6583000,"THR 2023, Cutan Sept 2023",1,,
P,12,6583000,6583000,Natal 2023,1,,
P,12,7336000,7336000,THR 2024,1,,
P,12,10000000,5000000,Gaji,1,,
P,60,75000000,36250000,Manfaat pensiun,1,,
P,6,5000000,5000000,Natal 2023 dari Dapen,1,,
P,12,10000000,4156328,Manfaat pensiun,1,,
L,11,20000000,20000000,Japrod 2023,1,,
P,60,75000000,73750000,pot gaji,1,,
P,9,20000000,10000000,"Natal 2023, Cutan Juni 2023",1,,
P,11,30000000,30000000,"Japrod 2023, THR 2024",1,,
L,48,15000000,14687500,pot gaji,1,,
L,11,12000000,12000000,"Natal 2023, THR 2024",1,,
P,11,25000000,25000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,60,25000000,14166580,pot gaji,1,,
P,11,19000000,19000000,Japrod 2023,1,,
L,12,15000000,15000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,60,25000000,11666560,Manfaat pensiuna,1,,
L,60,35000000,32083325,pot gaji,1,,
P,60,30000000,30000000,Kend rd 4 Merk Mazda Tahun 2017,1,,
P,11,33000000,33000000,"Japrod 2023, Natal 2023, THR 2024",1,,
P,36,20000000,12222230,pot manfaat pensiun,1,,
L,42,100000000,80952360,pot gaji,1,,
L,11,50000000,50000000,"Natal 2023, THR 2024",1,,
L,10,5000000,5000000,Natal 2023,1,,
L,11,15000000,15000000,Japrod 2023,1,,
P,10,11000000,11000000, Natal 2023,1,,
P,12,11000000,11000000,Cuti Maret 2024,1,,
P,12,30000000,30000000,"Japrod 2023, THR 2024",1,,
P,12,10000000,5000000,Gaji,1,,
P,60,35000000,23333300,pot gaji,1,,
P,9,20000000,13000000,"THR 2023, Cutan Sept 2023, Natal 2023",1,,
L,12,6800000,6800000,THR 2024,1,,
P,12,15000000,15000000,Japrod 2023,1,,
P,12,10000000,5000000,Gaji,1,,
L,11,25000000,25000000,Japrod 2023,1,,
L,60,145000000,115999960,pot manfaat pensiun,1,,
L,11,18000000,18000000,"Natal 2023 dari Dapen, THR 2024 dari Dapen",1,,
L,60,25000000,21666640,pot gaji,1,,
L,11,25000000,12500000,"Cutan Maret 2023, Natal 2023",1,,
L,12,12900000,12900000,THR 2024,1,,
L,12,39000000,39000000,Japrod 2023,1,,
L,12,10000000,4105808,Gaji,1,,
L,60,100000000,93333320,pot gaji,1,,
L,12,8500000,8500000,Natal 2023,1,,
L,12,9000000,9000000,THR 2024,1,,
L,60,130000000,119166650,pot gaji,1,,
L,12,25000000,25000000,Natal Dapen 2023,1,,
L,11,25000000,25000000,THR 2024 Dapen,1,,
P,60,50000000,29992040,Kend rd 4  Suzuki Tahun 1993,1,,
P,12,20000000,20000000,"Natal 2023, THR 2024",1,,
P,12,30000000,30000000,Japrod 2023,1,,
P,12,10000000,4340995,Gaji,1,,
L,60,25000000,22499980,pot manfaat pensiun,1,,
L,10,5000000,5000000,Natal Dapen 2023,1,,
P,12,18000000,18000000,Japrod 2023,1,,
L,24,21000000,21000000,pot gaji,1,,
L,12,10000000,4378998,Gaji,1,,
L,60,40000000,39333330,pot gaji,1,,
L,11,30000000,30000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,12,40000000,40000000,"Natal 2023, THR 2024, Cubes Maret 24",1,,
P,12,32000000,32000000,Japrod 2023,1,,
L,8,40000000,19000000,"Natal 2022, Japrod 2022, THR 2023",1,,
L,84,90000000,62141000,Sertifikat tanah SHM NO13522,1,,
L,11,10000000,10000000,Natal 2023,1,,
L,60,60000000,39000000,pot gaji,1,,
L,12,34000000,34000000,Cubes September 2023,1,,
L,12,10000000,9073286,Gaji,1,,
L,30,10000000,6664650,pot gaji,1,,
P,60,18000000,17700000,Pot Manfaat Pensiun,1,,
P,12,20000000,20000000,"Japrod 2023, Natal 2023",1,,
L,11,14500000,9650000,"THR 2023, Cutan Sept 2023, Natal 2023",1,,
L,60,50000000,42499985,pot gaji,1,,
L,12,30000000,30000000,"Japrod 2023, Natal 2023, THR 2024",1,,
P,60,300000000,260000000,Sertifikat tanah SHM NO00242,1,,
P,12,10000000,7164577,Manfaat pensiun,1,,
L,12,7000000,7000000,Natal 2023,1,,
L,12,7000000,7000000,THR 2024,1,,
L,12,21000000,21000000,Japrod 2023,1,,
L,12,10000000,4227069,Gaji,1,,
L,24,25000000,18749998,setor sendiri,1,,
L,10,10000000,10000000,"Natal 2023, Cutan Sept 2023",1,,
L,12,29000000,29000000,Japrod 2023,1,,
L,10,19000000,19000000,"THR 2024, Natal 2023",1,,
P,12,20000000,20000000,Japrod 2023,1,,
P,11,9000000,9000000,Natal 2023,1,,
P,12,18000000,9000000,"THR 2024, Cutan Juni 2023",1,,
P,12,27000000,27000000,Japrod 2023,1,,
P,12,27000000,27000000,"Cutan Juni 2024, Penghargaan Mei 2024",1,,
P,12,10000000,3559162,Gaji,1,,
P,11,34000000,34000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,60,60000000,55000000,pot gaji,1,,
L,12,10000000,9233505,Gaji,1,,
P,12,5000000,3333320,Manfaat pensiunan,1,,
P,6,8000000,4000000,"Natal 2023, Cutan Sept 2023",1,,
P,24,70000000,8749930,potong gaji,1,,
L,12,4000000,3666665,pot gaji,1,,
L,12,20000000,20000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,36,15000000,10416630,pot gaji,1,,
L,12,10000000,10000000,THR 2024,1,,
L,12,43000000,43000000,"Japrod 2023, THR 2023",1,,
L,12,10000000,4071452,Gaji,1,,
L,12,38000000,38000000,Japrod 2023,1,,
L,24,7500000,4675000,pot gaji,1,,
L,6,5000000,5000000,Natal 2023,1,,
L,12,10000000,4107108,Gaji,1,,
L,163,50000000,28006930, Kend rd 2 NoBPKB : M-13642996,1,,
L,60,40000000,37999990,pot gaji,1,,
L,12,28000000,28000000,"THR 2024,Natal 2023, Cutan Sept 2023",1,,
L,11,45000000,45000000,Japrod 2023,1,,
L,36,20000000,13333280,pot gaji,1,,
L,60,50000000,3333240,potong gaji,1,,
L,60,50000000,29999960,pot gaji,1,,
L,11,55000000,55000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,36,10000000,6944420,Manfaat pensiun,1,,
L,12,5500000,5500000,Natal 2023,1,,
L,12,10000000,6643196,Manfaat pensiun,1,,
L,60,90000000,76500000,Kend rd 4 Merk Rush,1,,
L,11,60000000,60000000,"Japrod 2023, Natal 2023",1,,
L,12,10000000,7652167,Gaji,1,,
L,96,135000000,106875000,Gaji,1,,
L,60,10000000,9833330,Gaji,1,,
L,12,10000000,2000000,Gaji,1,,
L,60,60000000,29000000,Gaji,1,,
L,11,50000000,50000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,36,25000000,13194435,pot gaji,1,,
P,60,200000000,179999990,Sertifikat tanah SHM No08159,1,,
P,12,12000000,12000000,Natal 2023,1,,
L,9,11000000,11000000,Cubes Sept 2023,1,,
L,12,10000000,8104073,Gaji,1,,
L,36,3000000,749955,Manfaat pensiun,1,,
P,7,5000000,5000000,Cutan Sept 2023,1,,
P,9,7500000,7500000,Natal 2023,1,,
P,24,21000000,20125000,pot manfaat pensiunan,1,,
L,48,31000000,3874930,Gaji,1,,
L,12,15000000,15000000,"Japrod 2023, THR 2024, Natal 2023",1,,
L,11,12000000,12000000,Japrod 2023,1,,
L,60,30000000,25233330,Gaji,1,,
L,10,10000000,10000000,Natal 2023,1,,
L,12,10000000,0,Gaji,1,,
L,11,7000000,7000000,"Natal 2023 Dapen, THR 2024 Dapen",1,,
L,11,21200000,21200000,Japrod 2023,1,,
P,11,14000000,14000000,"Natal 2023, THR 2024",1,,
P,12,20000000,20000000,Japrod 2023,1,,
P,60,25000000,23749990,Manfaat pensiun,1,,
L,10,6000000,6000000,Natal 2023,1,,
L,11,6000000,6000000,THR 2024,1,,
L,11,20000000,20000000,Japrod 2023,1,,
L,12,10000000,7000000,Gaji,1,,
P,48,25000000,13541630,pot gaji,1,,
P,12,60000000,60000000,"Japrod 2023, THR 2024, Natal 2023",1,,
L,11,21000000,21000000,Japrod 2023,1,,
L,12,500000000,500000000,hasil penjualan rumah di Purwokerto,1,,
L,12,28000000,28000000,"Natal Dapen 2023, THR Dapen 2024",1,,
L,60,25000000,25000000,pot gaji,1,,
L,36,5000000,4583330,Manfaat pensiun,1,,
L,60,90000000,54000000,pot gaji,1,,
L,11,33000000,33000000,"Natal 2023, THR 2024, Cutan Maret 2024",1,,
L,12,10000000,9522500,Gaji,1,,
L,60,10000000,166470,Gaji,1,,
L,11,8000000,8000000,"Natal 2023, THR 2024",1,,
L,60,15000000,14250000,pot gaji,1,,
L,6,36500000,7300000,"Japrod 2022, NATAL 2022, THR 2023",1,,
L,8,10000000,10000000,"Cutan Sept 2023, Natal 2023",1,,
P,4,10000000,10000000,Bilyet Deposito 85091-1224 an MM dhian Pratiwi W,1,,
L,12,24000000,24000000,"Japrod 2023, Natal 2023, THR 2024",1,,
P,60,40000000,18666560,Manfaat pensiuna,1,,
L,12,14000000,14000000,Japrod 2023,1,,
P,12,10000000,4026024,Gaji,1,,
P,60,15000000,8500000,pot gaji,1,,
P,6,4500000,4500000,Natal 2023 Dapen,1,,
L,60,30000000,27000000,Manfaat pensiun,1,,
P,11,18000000,18000000,Japrod 2023,1,,
P,12,7000000,7000000,Natal 2023,1,,
P,12,14000000,14000000,Japrod 2023,1,,
P,12,10000000,4154910,Gaji,1,,
P,11,30000000,30000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,7,20000000,20000000,"Natal 2023, Cutan Sept 2023",1,,
P,11,20000000,20000000,"Japrod 2023, Natal 2023",1,,
L,8,4000000,1500000,Manfaat pensiun,1,,
L,60,30000000,29000000,Manfaat pensiun,1,,
L,12,5000000,1249970,Manfaat pensiun,1,,
P,36,20000000,6666680,Manfaat pensiun,1,,
L,36,15000000,210000,Gaji,1,,
L,11,10000000,10000000,"Natal 2023, Cubes April 2024",1,,
L,84,100000000,77380880,pot gaji koperasi,1,,
L,12,10000000,0,Gaji,1,,
L,60,15000000,13000000,Gaji,1,,
L,5,6000000,6000000,Cutan Sept 2023,1,,
L,8,7000000,7000000,Natal 2023,1,,
L,12,10000000,8526104,Gaki,1,,
P,24,20000000,11666650,Manfaat pensiun,1,,
P,36,30000000,26516657,Gaji,1,,
P,12,60000000,60000000,"Japrod 2023, Natal 2023, THR 2024",1,,
L,12,15000000,15000000,"Natal 2023, Cubes April 2024",1,,
L,12,10000000,3354856,Gaji,1,,
L,8,14000000,14000000,Cubes Sept 2023,1,,
L,12,10000000,8572067,Gaji,1,,
L,10,16800000,5600000,"THR 2023, Cutan Juni 2023, Natal  2023",1,,
L,12,10000000,9119199,Gaji,1,,
L,4,12000000,12000000,Cutan Sept 2023,1,,
L,36,12000000,6999975,Kend rd 2 NoBPKB: L-09224682 dan NoJ-02070549,1,,
L,60,150000000,95000000,Gaji,1,,
L,12,10000000,0,Gaji,1,,
L,36,7500000,6041655,Manfaat pensiun,1,,
L,7,2500000,2500000,Natal 2023 Dapen,1,,
L,60,50000000,13608265,Manfaat pensiun,1,,
L,11,10000000,5000000,"THR 2023, Natal 2023",1,,
L,12,10000000,6530187,Gaji,1,,
P,12,10000000,0,Gaji,1,,
L,60,55000000,13749850,Manfaat pensiun,1,,
L,8,5000000,5000000,Natal 2023,1,,
P,48,25000000,20311000,Gaji,1,,
L,3,9000000,9000000,Cutan Sept 2023,1,,
P,36,12000000,9999990,Manfaat pensiun,1,,
P,120,165000000,151250000,Gaji,1,,
P,60,50000000,43066680,"Simpanan Berjangka No753, Nominal Rp50000000,--",1,,
P,24,25000000,25000000,"Simpanan Berjangka No1233, Nominal Rp30000000,--",1,,
P,24,25000000,25000000,"Simpanan Bjk No756,758,1023, Nominal Rp30000000,--",1,,
P,12,10000000,6912397,Gaji,1,,
L,84,38000000,18999830,Manfaat pensiun,1,,
L,60,25000000,24166660,Manfaat pensiun,1,,
L,11,5500000,5500000,"Cutan Sept 2023, Natal 2023",1,,
L,12,10000000,4487063,Gaji,1,,
P,60,50000000,45833325,Manfaat pensiun,1,,
P,36,20000000,11111040,Gaji,1,,
L,60,50000000,22499945,Manfaat pensiun,1,,
L,36,15000000,13749990,Gaji,1,,
P,24,20000000,16666660,Gaji,1,,
P,9,12000000,6000000,"THR 2023, Natal 2023",1,,
P,12,18000000,18000000,Japrod 2023,1,,
P,60,50000000,47499995,Gaji,1,,
P,12,43000000,43000000,"Japrod 2023, Natal 2023, THR 2024",1,,
P,9,32000000,24000000,"THR 2023, Cubes Okt 2023, Natal 2023",1,,
P,60,21000000,13650000,Gaji,1,,
P,12,14000000,14000000,"Natal 2023, Cutan Sept 2023",1,,
P,12,7000000,7000000,THR 2024,1,,
P,12,21000000,21000000,Japrod 2023,1,,
P,12,10000000,4188455,Gaji,1,,
L,60,15000000,14250000,Manfaat pensiun,1,,
L,60,40000000,17999890,Gaji,1,,
L,11,10000000,10000000,Cutan Maret 2024,1,,
L,12,32000000,32000000,Japrod 2023,1,,
L,10,21600000,21600000,"THR 2024, Natal 2023",1,,
L,12,10000000,4373443,Gaji,1,,
P,9,13000000,13000000,"Natal 2023, Cutan Sept 2023",1,,
P,11,6750000,6750000,Natal 2023,1,,
P,12,20100000,20100000,Japrod 2023,1,,
P,72,125000000,112847195,Gaji,1,,
P,12,10000000,3000000,Gaji,1,,
L,60,40000000,35333310,Gaji,1,,
L,12,25000000,25000000,"Japrod 2023, THR 2024",1,,
L,9,6000000,6000000,Natal 2023,1,,
L,11,6000000,6000000,THR 2024,1,,
L,12,18000000,18000000,Japrod 2023,1,,
L,12,10000000,4273481,Gaji,1,,
P,48,15000000,2500000,Gaji,1,,
P,12,38500000,38500000,"Japrod 2023, THR 2024, Natal 2023",1,,
P,12,10000000,4758750,Gaji,1,,
L,48,20000000,16666640,Manfaat pensiun,1,,
L,10,2000000,2000000,Natal Dapen 2023,1,,
L,11,2000000,2000000,THR 2024 Dapen,1,,
